1	всем	все	PRON	_	Animacy=Anim|Case=Dat|Number=Plur	_	_	_	@mm1999m-words#@mm1999m#0.0#0.416
2	привет	привет	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#0.416#0.832
3	мои	мой	DET	_	Case=Nom|Number=Plur	_	_	_	@mm1999m-words#@mm1999m#0.832#1.248
4	дорогие	дорогой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@mm1999m-words#@mm1999m#1.248#1.664
5	друзья	друг	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@mm1999m-words#@mm1999m#1.664#2.08
6	сегодня	сегодня	ADV	_	Degree=Pos	_	_	_	@mm1999m-words#@mm1999m#2.08#2.429
7	у	у	ADP	_	_	_	_	_	@mm1999m-words#@mm1999m#2.429#2.778
8	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@mm1999m-words#@mm1999m#2.778#3.127
9	в	в	ADP	_	_	_	_	_	@mm1999m-words#@mm1999m#3.127#3.476
10	гостях	гость	NOUN	_	Animacy=Anim|Case=Loc|Gender=Masc|Number=Plur	_	_	_	@mm1999m-words#@mm1999m#3.476#3.825
11	специальный	специальный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#3.825#4.174
12	гость	гость	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#4.174#4.523
13	который	который	PRON	_	Case=Nom	_	_	_	@mm1999m-words#@mm1999m#4.523#4.872
14	наконец-таки	наконец-таки	ADV	_	Degree=Pos	_	_	_	@mm1999m-words#@mm1999m#4.872#5.221
15	появился	появиться	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@mm1999m-words#@mm1999m#5.221#5.57
16	у	у	ADP	_	_	_	_	_	@mm1999m-words#@mm1999m#5.57#5.919
17	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@mm1999m-words#@mm1999m#5.919#6.268
18	в	в	ADP	_	_	_	_	_	@mm1999m-words#@mm1999m#6.268#6.617
19	гостях	гость	NOUN	_	Animacy=Anim|Case=Loc|Gender=Masc|Number=Plur	_	_	_	@mm1999m-words#@mm1999m#6.617#6.966
20	Кристиан	Кристиан	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#6.966#7.315
21	Костов	Костов	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#7.315#7.67
22	финалист	финалист	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#43.82#44.16
23	детского	детский	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#44.16#44.5
24	голоса	голос	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#44.5#44.84
25	в	в	ADP	_	_	_	_	_	@mm1999m-words#@mm1999m#44.84#45.18
26	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#45.18#45.52
27	хотел	хотеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mm1999m-words#@mm1999m#45.78#46.037
28	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@mm1999m-words#@mm1999m#46.037#46.294
29	победитель	победитель	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#46.294#46.551
30	но	но	CCONJ	_	_	_	_	_	@mm1999m-words#@mm1999m#46.551#46.808
31	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mm1999m-words#@mm1999m#46.808#47.065
32	второе	второй	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#48.45#48.96
33	место	место	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#48.96#49.47
34	на	на	ADP	_	_	_	_	_	@mm1999m-words#@mm1999m#49.47#49.98
35	Евровидении	Евровидения	PROPN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#49.98#50.49
36	международном	международный	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#50.49#51.0
37	конкурсе	конкурс	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#51.0#51.51
38	который	который	PRON	_	Case=Acc	_	_	_	@mm1999m-words#@mm1999m#51.51#52.02
39	все	все	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#52.02#52.53
40	знают	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mm1999m-words#@mm1999m#52.53#53.04
41	чт…	чт…	SCONJ	_	_	_	_	_	@mm1999m-words#@mm1999m#53.53#53.736
42	кто	кто	PRON	_	Case=Nom	_	_	_	@mm1999m-words#@mm1999m#53.736#53.942
43	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@mm1999m-words#@mm1999m#53.942#54.148
44	там	там	ADV	_	Degree=Pos	_	_	_	@mm1999m-words#@mm1999m#54.148#54.354
45	ещё	еще	ADV	_	Degree=Pos	_	_	_	@mm1999m-words#@mm1999m#54.354#54.56
46	прекраснейший	прекрасный	ADJ	_	Case=Nom|Degree=Sup|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#54.77#55.44
47	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#55.44#56.11
48	ээ	ээ	INTJ	_	_	_	_	_	@mm1999m-words#@mm1999m#56.11#56.78
49	замечательный	замечательный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#56.78#57.237
50	певец	певец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#57.237#57.694
51	артист	артист	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#57.694#58.151
52	ээ	ээ	INTJ	_	_	_	_	_	@mm1999m-words#@mm1999m#58.151#58.61
53	кто	кто	PRON	_	Case=Nom	_	_	_	@mm1999m-words#@mm1999m#59.63#59.94
54	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@mm1999m-words#@mm1999m#59.94#60.25
55	там	там	ADV	_	Degree=Pos	_	_	_	@mm1999m-words#@mm1999m#60.25#60.56
56	блоггер	блоггер	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mm1999m-words#@mm1999m#60.56#60.87
57	теперь	теперь	ADV	_	Degree=Pos	_	_	_	@mm1999m-words#@mm1999m#60.87#61.18
58	ещё	еще	ADV	_	Degree=Pos	_	_	_	@mm1999m-words#@mm1999m#61.18#61.49
59	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mm1999m-words#@mm1999m#65.19#65.415
